epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,117.326,0.57326,0.55323,0.88921,0.85571,0.87264,0.93944,0.89524,0.51526,0.67552,0.84316,0.000481144,0.000481144,0.000481144
69,118.726,0.59225,0.56771,0.90099,0.86169,0.87836,0.93944,0.86202,0.51917,0.67461,0.8431,0.000466997,0.000466997,0.000466997
70,120.267,0.55778,0.5529,0.90411,0.85251,0.92151,0.93944,0.8786,0.46857,0.61307,0.83365,0.00045285,0.00045285,0.00045285
71,121.727,0.59729,0.57245,0.90175,0.84358,1,0.93944,0.8786,0.47721,0.57912,0.8346,0.000438703,0.000438703,0.000438703
72,123.178,0.57022,0.54645,0.87096,0.9527,0.99682,0.995,0.92861,0.49163,0.48858,0.84347,0.000424556,0.000424556,0.000424556
73,124.669,0.56484,0.54291,0.88121,0.96656,1,0.995,0.92861,0.48629,0.46711,0.8441,0.000410409,0.000410409,0.000410409
74,126.016,0.53805,0.56508,0.90072,0.98219,1,0.995,0.91368,0.47202,0.43288,0.84267,0.000396262,0.000396262,0.000396262
75,127.937,0.56899,0.513,0.89255,0.96597,1,0.995,0.91733,0.46253,0.43881,0.84033,0.000382115,0.000382115,0.000382115
76,129.952,0.52798,0.51151,0.89194,0.9052,0.98688,0.995,0.90212,0.50402,0.47778,0.8467,0.000367967,0.000367967,0.000367967
77,131.649,0.52146,0.51678,0.88386,0.90216,0.987,0.995,0.91805,0.50219,0.48496,0.84662,0.00035382,0.00035382,0.00035382
78,133.149,0.51812,0.50418,0.86941,0.96007,1,0.995,0.89769,0.46942,0.44607,0.84167,0.000339673,0.000339673,0.000339673
79,134.533,0.54888,0.50231,0.89036,0.97707,1,0.995,0.94365,0.47765,0.41898,0.84346,0.000325526,0.000325526,0.000325526
80,135.969,0.55792,0.53737,0.89105,0.97951,1,0.995,0.92527,0.51088,0.42407,0.84948,0.000311379,0.000311379,0.000311379
81,137.356,0.53948,0.55648,0.88051,0.97798,1,0.995,0.91858,0.50165,0.41774,0.84851,0.000297232,0.000297232,0.000297232
82,138.69,0.51082,0.51119,0.89222,0.96154,1,0.995,0.93195,0.46528,0.41218,0.84072,0.000283085,0.000283085,0.000283085
83,140.067,0.47873,0.51819,0.86792,0.95545,1,0.995,0.9352,0.46935,0.41104,0.84066,0.000268938,0.000268938,0.000268938
84,141.782,0.51514,0.53334,0.87613,0.96696,1,0.995,0.91531,0.4684,0.40715,0.84165,0.000254791,0.000254791,0.000254791
85,144.065,0.53251,0.51731,0.88834,0.9706,1,0.995,0.92525,0.47068,0.3963,0.84124,0.000240644,0.000240644,0.000240644
86,146.162,0.51101,0.50439,0.87425,0.97305,1,0.995,0.93186,0.4778,0.40722,0.84094,0.000226497,0.000226497,0.000226497
87,147.556,0.4631,0.49314,0.85892,0.97568,1,0.995,0.93187,0.48449,0.40049,0.84094,0.000212349,0.000212349,0.000212349
88,149.016,0.48874,0.51666,0.87588,0.97308,1,0.995,0.91203,0.48961,0.39556,0.84113,0.000198202,0.000198202,0.000198202
89,150.373,0.49512,0.48369,0.85206,0.97091,1,0.995,0.91857,0.47996,0.39354,0.83928,0.000184055,0.000184055,0.000184055
90,151.809,0.53411,0.52887,0.90574,0.95408,1,0.995,0.91857,0.46714,0.41046,0.83691,0.000169908,0.000169908,0.000169908
91,156.416,0.4345,0.52997,0.8305,0.93574,1,0.995,0.91857,0.47683,0.43317,0.83819,0.000155761,0.000155761,0.000155761
92,159.676,0.41811,0.48865,0.84443,0.9577,0.89605,0.995,0.91532,0.49764,0.48236,0.84292,0.000141614,0.000141614,0.000141614
93,161.355,0.40744,0.46253,0.82805,0.96429,0.88313,0.995,0.88754,0.51226,0.51589,0.84397,0.000127467,0.000127467,0.000127467
94,162.923,0.42824,0.48686,0.82232,0.96823,0.91101,0.995,0.904,0.50241,0.54099,0.84203,0.00011332,0.00011332,0.00011332
95,164.301,0.40054,0.50186,0.81817,0.96695,0.94743,0.995,0.92071,0.48759,0.52426,0.83927,9.91726e-05,9.91726e-05,9.91726e-05
96,165.798,0.4199,0.49742,0.83278,0.97153,0.95567,0.995,0.91937,0.48084,0.50937,0.83903,8.50255e-05,8.50255e-05,8.50255e-05
97,167.192,0.41433,0.48237,0.80872,0.96891,0.9621,0.995,0.91937,0.47428,0.49364,0.83821,7.08784e-05,7.08784e-05,7.08784e-05
98,168.664,0.40965,0.48819,0.8123,0.9685,0.96591,0.995,0.91969,0.46626,0.46138,0.83708,5.67313e-05,5.67313e-05,5.67313e-05
99,170.281,0.41488,0.51668,0.80649,0.96867,0.96817,0.995,0.91969,0.46352,0.44903,0.83646,4.25842e-05,4.25842e-05,4.25842e-05
100,172.538,0.37041,0.44828,0.81023,0.96741,0.9706,0.995,0.92023,0.46007,0.43258,0.83594,2.84371e-05,2.84371e-05,2.84371e-05
